files: 988
trials: 100
path_a path_b min max mean variance std_dev rel_std_dev
/home/falkor/source/idhash/duplicates/184_a.jpg /home/falkor/source/idhash/duplicates/184_b.jpg 0 33 20.62 38.94 6.24 30.26
/home/falkor/source/idhash/duplicates/185_a.jpg /home/falkor/source/idhash/duplicates/185_b.jpg 8 34 21.55 33.45 5.78 26.84
/home/falkor/source/idhash/duplicates/186_a.jpg /home/falkor/source/idhash/duplicates/186_b.jpg 0 35 19.86 42.04 6.48 32.65
/home/falkor/source/idhash/duplicates/187_a.jpg /home/falkor/source/idhash/duplicates/187_b.jpg 0 41 22.04 52.18 7.22 32.77
/home/falkor/source/idhash/duplicates/188_a.jpg /home/falkor/source/idhash/duplicates/188_b.jpg 3 39 23.39 46.80 6.84 29.25
/home/falkor/source/idhash/duplicates/189_a.jpg /home/falkor/source/idhash/duplicates/189_b.jpg 5 35 22.43 41.77 6.46 28.81
/home/falkor/source/idhash/duplicates/190_a.jpg /home/falkor/source/idhash/duplicates/190_b.jpg 7 38 23.77 39.48 6.28 26.43
/home/falkor/source/idhash/duplicates/191_a.jpg /home/falkor/source/idhash/duplicates/191_b.jpg 4 41 22.82 49.33 7.02 30.78
/home/falkor/source/idhash/duplicates/192_a.jpg /home/falkor/source/idhash/duplicates/192_b.jpg 6 38 22.40 42.72 6.54 29.18
/home/falkor/source/idhash/duplicates/193_a.jpg /home/falkor/source/idhash/duplicates/193_b.jpg 5 41 25.60 54.34 7.37 28.80
/home/falkor/source/idhash/duplicates/194_a.jpg /home/falkor/source/idhash/duplicates/194_b.jpg 2 38 22.21 39.73 6.30 28.38
